match_id_unique,team,opposition,match_result,match_date,venue,season,toss_winner,toss_decision,won,lost,tied,toss_won
S1_M32,Sudur Paschim Royals (NPL),Janakpur Bolts (NPL),Loss,2024-12-21,"Tribhuvan University International Cricket Ground, Kirtipur",1,Sudur Paschim Royals (NPL),Bat,0,1,0,1
S1_M4,Biratnagar Kings (NPL),Sudur Paschim Royals (NPL),Loss,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",1,Biratnagar Kings (NPL),Bowl,0,1,0,1
S1_M4,Sudur Paschim Royals (NPL),Biratnagar Kings (NPL),Win,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",1,Biratnagar Kings (NPL),Bowl,1,0,0,0
S1_M5,Chitwan Rhinos (NPL),Pokhara Avengers (NPL),Win,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",1,Pokhara Avengers (NPL),Bowl,1,0,0,0
S1_M5,Pokhara Avengers (NPL),Chitwan Rhinos (NPL),Loss,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",1,Pokhara Avengers (NPL),Bowl,0,1,0,1
S1_M6,Karnali Yaks (NPL),Kathmandu Gurkhas (NPL),Loss,2024-12-04,"Tribhuvan University International Cricket Ground, Kirtipur",1,Kathmandu Gurkhas (NPL),Bowl,0,1,0,0
S1_M6,Kathmandu Gurkhas (NPL),Karnali Yaks (NPL),Win,2024-12-04,"Tribhuvan University International Cricket Ground, Kirtipur",1,Kathmandu Gurkhas (NPL),Bowl,1,0,0,1
S1_M7,Biratnagar Kings (NPL),Lumbini Lions (NPL),Win,2024-12-04,"Tribhuvan University International Cricket Ground, Kirtipur",1,Biratnagar Kings (NPL),Bowl,1,0,0,1
S1_M7,Lumbini Lions (NPL),Biratnagar Kings (NPL),Loss,2024-12-04,"Tribhuvan University International Cricket Ground, Kirtipur",1,Biratnagar Kings (NPL),Bowl,0,1,0,0
S1_M8,Janakpur Bolts (NPL),Pokhara Avengers (NPL),Win,2024-12-05,"Tribhuvan University International Cricket Ground, Kirtipur",1,Janakpur Bolts (NPL),Bowl,1,0,0,1
S1_M8,Pokhara Avengers (NPL),Janakpur Bolts (NPL),Loss,2024-12-05,"Tribhuvan University International Cricket Ground, Kirtipur",1,Janakpur Bolts (NPL),Bowl,0,1,0,0
S1_M9,Kathmandu Gurkhas (NPL),Sudur Paschim Royals (NPL),Loss,2024-12-05,"Tribhuvan University International Cricket Ground, Kirtipur",1,Kathmandu Gurkhas (NPL),Bowl,0,1,0,1
S1_M9,Sudur Paschim Royals (NPL),Kathmandu Gurkhas (NPL),Win,2024-12-05,"Tribhuvan University International Cricket Ground, Kirtipur",1,Kathmandu Gurkhas (NPL),Bowl,1,0,0,0
S2_M1,Janakpur Bolts (NPL),Kathmandu Gurkhas (NPL),Loss,2025-11-17,"Tribhuvan University International Cricket Ground, Kirtipur",2,Kathmandu Gurkhas (NPL),Field,0,1,0,0
S2_M1,Kathmandu Gurkhas (NPL),Janakpur Bolts (NPL),Win,2025-11-17,"Tribhuvan University International Cricket Ground, Kirtipur",2,Kathmandu Gurkhas (NPL),Field,1,0,0,1
S2_M10,Karnali Yaks (NPL),Sudur Paschim Royals (NPL),Loss,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur",2,Karnali Yaks (NPL),Field,0,1,0,1
S2_M10,Sudur Paschim Royals (NPL),Karnali Yaks (NPL),Win,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur",2,Karnali Yaks (NPL),Field,1,0,0,0
S2_M11,Kathmandu Gurkhas (NPL),Lumbini Lions (NPL),Win,2025-11-25,"Tribhuvan University International Cricket Ground, Kirtipur",2,Lumbini Lions (NPL),Field,1,0,0,0
S2_M11,Lumbini Lions (NPL),Kathmandu Gurkhas (NPL),Loss,2025-11-25,"Tribhuvan University International Cricket Ground, Kirtipur",2,Lumbini Lions (NPL),Field,0,1,0,1
S2_M12,Lumbini Lions (NPL),Sudur Paschim Royals (NPL),Loss,2024-12-07,"Tribhuvan University International Cricket Ground, Kirtipur",2,Lumbini Lions (NPL),Field,0,1,0,1
S2_M12,Sudur Paschim Royals (NPL),Lumbini Lions (NPL),Win,2024-12-07,"Tribhuvan University International Cricket Ground, Kirtipur",2,Lumbini Lions (NPL),Field,1,0,0,0
S2_M13,Lumbini Lions (NPL),Sudur Paschim Royals (NPL),Loss,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur",2,Sudur Paschim Royals (NPL),Field,0,1,0,0
S2_M13,Sudur Paschim Royals (NPL),Lumbini Lions (NPL),Win,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur",2,Sudur Paschim Royals (NPL),Field,1,0,0,1
S2_M14,Janakpur Bolts (NPL),Pokhara Avengers (NPL),Loss,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur",2,Pokhara Avengers (NPL),Bat,0,1,0,0
S2_M14,Pokhara Avengers (NPL),Janakpur Bolts (NPL),Win,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur",2,Pokhara Avengers (NPL),Bat,1,0,0,1
S2_M15,Chitwan Rhinos (NPL),Kathmandu Gurkhas (NPL),Loss,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur",2,Chitwan Rhinos (NPL),Field,0,1,0,1
S2_M15,Kathmandu Gurkhas (NPL),Chitwan Rhinos (NPL),Win,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur",2,Chitwan Rhinos (NPL),Field,1,0,0,0
S2_M16,Biratnagar Kings (NPL),Karnali Yaks (NPL),Win,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur",2,Karnali Yaks (NPL),Bat,1,0,0,0
S2_M16,Karnali Yaks (NPL),Biratnagar Kings (NPL),Loss,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur",2,Karnali Yaks (NPL),Bat,0,1,0,1
S2_M17,Lumbini Lions (NPL),Pokhara Avengers (NPL),Win,2025-11-29,"Tribhuvan University International Cricket Ground, Kirtipur",2,Lumbini Lions (NPL),Field,1,0,0,1
S2_M17,Pokhara Avengers (NPL),Lumbini Lions (NPL),Loss,2025-11-29,"Tribhuvan University International Cricket Ground, Kirtipur",2,Lumbini Lions (NPL),Bat,0,1,0,0
S2_M18,Janakpur Bolts (NPL),Sudur Paschim Royals (NPL),Loss,2025-11-29,"Tribhuvan University International Cricket Ground, Kirtipur",2,Janakpur Bolts (NPL),Bat,0,1,0,1
S2_M18,Sudur Paschim Royals (NPL),Janakpur Bolts (NPL),Win,2025-11-29,"Tribhuvan University International Cricket Ground, Kirtipur",2,Janakpur Bolts (NPL),Bat,1,0,0,0
S2_M19,Karnali Yaks (NPL),Kathmandu Gurkhas (NPL),Loss,2025-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",2,Karnali Yaks (NPL),Bat,0,1,0,1
S2_M19,Kathmandu Gurkhas (NPL),Karnali Yaks (NPL),Win,2025-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",2,Karnali Yaks (NPL),Bat,1,0,0,0
