Player,Team,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
R Dhakal,CHR,2025-2025,5,2,1,3,2,3.0,3,100.0,-,-,-,0,0
D Bohara,SPR,2025-2025,3,2,0,3,3,1.5,4,75.0,-,-,1,0,0
A Bohara,SPR,2025-2025,9,3,1,3,1*,1.5,9,33.33,-,-,-,0,0
P Shrestha,KAG,2025-2025,1,1,0,2,2,2.0,6,33.33,-,-,-,0,0
SK Chettri,POA,2025-2025,2,1,1,2,2*,-,4,50.0,-,-,-,0,0
UB Singh,KAY,2025-2025,2,1,0,1,1,1.0,2,50.0,-,-,-,0,0
Sameer Ali,LUL,2025-2025,2,1,0,1,1,1.0,2,50.0,-,-,-,0,0
R Kumar,CHR,2025-2025,5,2,1,1,1*,1.0,2,50.0,-,-,1,0,0
GLS Scrimshaw,CHR,2025-2025,1,1,0,-,-,-,1,-,-,-,1,0,0
Subash Bhandari,BIK,2025-2025,3,1,1,-,0*,-,3,-,-,-,-,0,0
Y Khatri,KAY,2025-2025,5,1,0,-,-,-,4,-,-,-,1,0,0
Surya Tamang,BIK,2025-2025,6,2,1,-,0*,-,5,-,-,-,1,0,0
BP Sharma,KAY,2025-2025,5,2,1,-,0*,-,3,-,-,-,1,0,0
