Player,Team,Span,Mat,Inns,NO,Runs_bat,HS,Ave_bat,BF,SR_bat,100,50,0,4s,6s,Overs,Mdns,Balls,Runs_bowl,Wkts,BBI,Ave_bowl,Econ,SR_bowl,4w,5w,10w
Pratis GC,BIK,2025-2025,9,8,2,67,30,11.16,40,167.5,0,0,1,4,5,25.0,0,150,218,9,3/27,24.22,8.72,16.6,0,0,0
Najibullah Zadran,KAY,2025-2025,7,6,2,66,24,16.5,57,115.78,0,0,0,2,4,0,0,0,0,0,-,-,-,-,0,0,0
R Trumpelmann,LUL,2025-2025,10,7,4,65,29*,21.66,41,158.53,0,0,1,4,4,33.2,1,200,224,15,3/3,14.93,6.72,13.3,0,0,0
WD Parnell,JAB,2025-2025,3,2,1,64,50*,64.0,50,128.0,0,1,0,3,5,0,0,0,0,0,-,-,-,-,0,0,0
HG Munsey,BIK,2025-2025,6,6,0,60,36,10.0,38,157.89,0,0,2,9,3,0,0,0,0,0,-,-,-,-,0,0,0
D Kharel,POA,2025-2025,4,4,0,58,38,14.5,64,90.62,0,0,0,4,4,0,0,0,0,0,-,-,-,-,0,0,0
Deepak Bohara,CHR,2025-2025,4,4,0,57,42,14.25,58,98.27,0,0,1,8,1,0,0,0,0,0,-,-,-,-,0,0,0
Sumeet Verma,POA,2025-2025,3,3,1,56,50*,28.0,41,136.58,0,1,1,2,4,7.0,0,42,53,2,2/19,26.5,7.57,21.0,0,0,0
JJ Smit,LUL,2025-2025,7,6,2,56,23,14.0,47,119.14,0,0,1,5,2,11.5,0,71,97,4,2/15,24.25,8.19,17.7,0,0,0
R Dhawan,POA,2025-2025,3,1,0,54,54,54.0,31,174.19,0,1,0,3,2,10.0,0,60,82,3,3/37,27.33,8.2,20.0,0,0,0
D Lakshan,POA,2025-2025,3,2,1,53,30,53.0,38,139.47,0,0,0,4,2,11.4,1,70,67,1,4/16,6.7,5.74,70.0,1,0,0
Sompal Kami,KAY,2025-2025,7,4,1,51,18*,17.0,47,108.51,0,0,0,3,2,24.0,1,144,216,9,3/32,24.0,9.0,16.0,0,0,0
N Bhatta,BIK,2025-2025,7,4,0,49,24,12.25,62,79.03,0,0,1,3,2,16.0,0,96,119,0,-,-,7.43,-,0,0,0
Karan KC,KAG,2025-2025,8,5,1,49,34*,12.25,31,158.06,0,0,0,2,5,28.5,0,173,214,13,4/30,16.46,7.42,13.3,1,0,0
N Joshi,BIK,2025-2025,7,6,1,48,25,9.6,47,102.12,0,0,0,3,2,5.0,0,30,51,0,-,-,10.2,-,0,0,0
D Adhikari,LUL,2025-2025,4,3,0,47,42,15.66,23,204.34,0,0,0,2,5,0,0,0,0,0,-,-,-,-,0,0,0
S Malla,LUL,2025-2025,10,6,3,46,27,15.33,30,153.33,0,0,0,1,4,36.0,0,216,234,17,3/18,13.76,6.5,12.7,0,0,0
A Kumal,POA,2025-2025,1,1,1,43,43*,-,53,81.13,0,0,0,2,1,0,0,0,0,0,-,-,-,-,0,0,0
TR Das,POA,2025-2025,6,4,0,39,29,9.75,46,84.78,0,0,1,2,1,0,0,0,0,0,-,-,-,-,0,0,0
A Mahata,JAB,2025-2025,5,4,1,35,18*,11.66,24,145.83,0,0,0,4,1,8.0,0,48,70,4,2/9,17.5,8.75,12.0,0,0,0
Rashid Khan,KAG,2025-2025,8,6,0,35,14,5.83,46,76.08,0,0,1,2,2,21.3,0,129,177,9,3/31,19.66,8.23,14.3,0,0,0
AR Ramjani,CHR,2025-2025,1,1,1,33,33*,-,22,150.0,0,0,0,1,2,4.0,0,24,21,0,-,-,5.25,-,0,0,0
Imran Sheikh,KAY,2025-2025,1,1,0,33,33,33.0,32,103.12,0,0,0,1,1,0,0,0,0,0,-,-,-,-,0,0,0
S Maharjan,LUL,2025-2025,6,6,0,32,18,5.33,39,82.05,0,0,3,4,0,0,0,0,0,-,-,-,-,0,0,0
S Lamichhane,BIK,2025-2025,9,7,5,31,9*,15.5,20,155.0,0,0,0,4,1,36.0,0,216,177,17,4/11,10.41,4.91,12.7,1,0,0
BKEL Milantha,JAB,2025-2025,2,2,0,30,23,15.0,34,88.23,0,0,0,3,1,0,0,0,0,0,-,-,-,-,0,0,0
SC Kuggeleijn,SPR,2025-2025,8,5,1,30,10,7.5,26,115.38,0,0,0,0,3,26.0,0,156,157,10,3/22,15.7,6.03,15.6,0,0,0
K Thagunna,POA,2025-2025,7,5,2,24,9,8.0,30,80.0,0,0,0,2,0,8.0,0,48,61,3,1/15,20.33,7.62,16.0,0,0,0
Sohail Tanvir,CHR,2025-2025,5,3,1,23,18,11.5,20,115.0,0,0,0,2,1,18.3,0,111,126,8,4/25,15.75,6.81,13.8,1,0,0
SMLD Samarakoon,JAB,2025-2025,1,1,0,22,22,22.0,21,104.76,0,0,0,0,2,0,0,0,0,0,-,-,-,-,0,0,0
S Patel,BIK,2025-2025,2,2,0,22,19,11.0,27,81.48,0,0,0,0,1,0,0,0,0,0,-,-,-,-,0,0,0
SP Jackson,SPR,2025-2025,2,2,0,21,20,10.5,14,150.0,0,0,0,2,1,0,0,0,0,0,-,-,-,-,0,0,0
MP O'Dowd,KAY,2025-2025,1,1,0,20,20,20.0,30,66.66,0,0,0,1,0,0,0,0,0,-,-,-,-,0,0,0
Rupesh Singh,JAB,2025-2025,6,4,2,20,8,10.0,26,76.92,0,0,0,2,0,9.0,0,54,83,3,2/12,27.66,9.22,18.0,0,0,0
Sunny Patel,KAG,2025-2025,3,3,1,19,10,9.5,15,126.66,0,0,0,1,1,12.0,0,72,66,5,2/25,13.2,5.5,14.4,0,0,0
